CFI_number,ICD10_code,description
1,A082,Adenoviral enteritis
1,A083,Other viral enteritis
1,A084,Vi unspecified
1,A088,Other specified intestinal infections
1,A09,Inf unspecified
2,A30,Leprosy [Hansen's disease]
2,A300,Indeterminate leprosy
2,A301,Tuberculoid leprosy
2,A302,Borderline tuberculoid leprosy
2,A303,Borderline leprosy
2,A304,Borderline lepromatous leprosy
2,A305,Lepromatous leprosy
2,A308,Other forms of leprosy
2,A309,Le unspecified
2,A31,Infection due to other mycobacteria
2,A310,Pulmonary mycobacterial infection
2,A311,Cutaneous mycobacterial infection
2,A312,Dissem mycobacterium avium-intracellulare complex (DMAC)
2,A318,Other mycobacterial infections
2,A319,My unspecified
2,A32,Listeriosis
2,A320,Cutaneous listeriosis
2,A321,Listerial meningitis and meningoencephalitis
2,A3211,Listerial meningitis
2,A3212,Listerial meningoencephalitis
2,A327,Listerial sepsis
2,A328,Other forms of listeriosis
2,A3281,Oculoglandular listeriosis
2,A3282,Listerial endocarditis
2,A3289,Other forms of listeriosis
2,A329,Li unspecified
2,A33,Tetanus neonatorum
2,A34,Obstetrical tetanus
2,A35,Other tetanus
2,A36,Diphtheria
2,A360,Pharyngeal diphtheria
2,A361,Nasopharyngeal diphtheria
2,A362,Laryngeal diphtheria
2,A363,Cutaneous diphtheria
2,A368,Other diphtheria
2,A3681,Diphtheritic cardiomyopathy
2,A3682,Diphtheritic radiculomyelitis
2,A3683,Diphtheritic polyneuritis
2,A3684,Diphtheritic tubulo-interstitial nephropathy
2,A3685,Diphtheritic cystitis
2,A3686,Diphtheritic conjunctivitis
2,A3689,Other diphtheritic complications
2,A369,Di unspecified
2,A37,Whooping cough
2,A370,Whooping cough due to Bordetella pertussis
2,A3700,Whooping cough due to Bordetella pertussis without pneumonia
2,A3701,Whooping cough due to Bordetella pertussis with pneumonia
2,A371,Whooping cough due to Bordetella parapertussis
2,A3710,Whooping cough due to Bordetella parapertussis w/o pneumonia
2,A3711,Whooping cough due to Bordetella parapertussis w pneumonia
2,A378,Whooping cough due to other Bordetella species
2,A3780,Whooping cough due to other Bordetella species w/o pneumonia
2,A3781,Whooping cough due to oth Bordetella species with pneumonia
2,A379,Wh unspecified species
2,A3790,W unspecified species without pneumonia
2,A3791,W unspecified species with pneumonia
2,A38,Scarlet fever
2,A380,Scarlet fever with otitis media
2,A381,Scarlet fever with myocarditis
2,A388,Scarlet fever with other complications
2,A389,Sc uncomplicated
2,A39,Meningococcal infection
2,A390,Meningococcal meningitis
2,A391,Waterhouse-Friderichsen syndrome
2,A392,Acute meningococcemia
2,A393,Chronic meningococcemia
2,A394,Me unspecified
2,A395,Meningococcal heart disease
2,A3950,M unspecified
2,A3951,Meningococcal endocarditis
2,A3952,Meningococcal myocarditis
2,A3953,Meningococcal pericarditis
2,A398,Other meningococcal infections
2,A3981,Meningococcal encephalitis
2,A3982,Meningococcal retrobulbar neuritis
2,A3983,Meningococcal arthritis
2,A3984,Postmeningococcal arthritis
2,A3989,Other meningococcal infections
2,A399,Me unspecified
2,A40,Streptococcal sepsis
2,A400,Se group A
2,A401,Se group B
2,A403,Sepsis due to Streptococcus pneumoniae
2,A408,Other streptococcal sepsis
2,A409,St unspecified
2,A41,Other sepsis
2,A410,Sepsis due to Staphylococcus aureus
2,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus
2,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus
2,A411,Sepsis due to other specified staphylococcus
2,A412,Sepsis due to unspecified staphylococcus
2,A413,Sepsis due to Hemophilus influenzae
2,A414,Sepsis due to anaerobes
2,A415,Sepsis due to other Gram-negative organisms
2,A4150,G unspecified
2,A4151,Sepsis due to Escherichia coli [E. coli]
2,A4152,Sepsis due to Pseudomonas
2,A4153,Sepsis due to Serratia
2,A4159,Other Gram-negative sepsis
2,A418,Other specified sepsis
2,A4181,Sepsis due to Enterococcus
2,A4189,Other specified sepsis
2,A419,Se unspecified organism
2,A42,Actinomycosis
2,A420,Pulmonary actinomycosis
2,A421,Abdominal actinomycosis
2,A422,Cervicofacial actinomycosis
2,A427,Actinomycotic sepsis
2,A428,Other forms of actinomycosis
2,A4281,Actinomycotic meningitis
2,A4282,Actinomycotic encephalitis
2,A4289,Other forms of actinomycosis
2,A429,Ac unspecified
2,A43,Nocardiosis
2,A430,Pulmonary nocardiosis
2,A431,Cutaneous nocardiosis
2,A438,Other forms of nocardiosis
2,A439,No unspecified
2,A44,Bartonellosis
2,A440,Systemic bartonellosis
2,A441,Cutaneous and mucocutaneous bartonellosis
2,A448,Other forms of bartonellosis
2,A449,Ba unspecified
2,A46,Erysipelas
2,A48,Oth not elsewhere classified
2,A480,Gas gangrene
2,A481,Legionnaires' disease
2,A482,Nonpneumonic Legionnaires' disease [Pontiac fever]
2,A483,Toxic shock syndrome
2,A484,Brazilian purpuric fever
2,A485,Other specified botulism
2,A4851,Infant botulism
2,A4852,Wound botulism
2,A488,Other specified bacterial diseases
2,A49,Bacterial infection of unspecified site
2,A490,St unspecified site
2,A4901,M unsp site
2,A4902,M unsp site
2,A491,St unspecified site
2,A492,He unspecified site
2,A493,My unspecified site
2,A498,Other bacterial infections of unspecified site
2,A499,Ba unspecified
3,B35,Dermatophytosis
3,B350,Tinea barbae and tinea capitis
3,B351,Tinea unguium
3,B352,Tinea manuum
3,B353,Tinea pedis
3,B354,Tinea corporis
3,B355,Tinea imbricata
3,B356,Tinea cruris
3,B358,Other dermatophytoses
3,B359,De unspecified
3,B36,Other superficial mycoses
3,B360,Pityriasis versicolor
3,B361,Tinea nigra
3,B362,White piedra
3,B363,Black piedra
3,B368,Other specified superficial mycoses
3,B369,Su unspecified
3,B37,Candidiasis
3,B370,Candidal stomatitis
3,B371,Pulmonary candidiasis
3,B372,Candidiasis of skin and nail
3,B373,Candidiasis of vulva and vagina
3,B374,Candidiasis of other urogenital sites
3,B3741,Candidal cystitis and urethritis
3,B3742,Candidal balanitis
3,B3749,Other urogenital candidiasis
3,B375,Candidal meningitis
3,B376,Candidal endocarditis
3,B377,Candidal sepsis
3,B378,Candidiasis of other sites
3,B3781,Candidal esophagitis
3,B3782,Candidal enteritis
3,B3783,Candidal cheilitis
3,B3784,Candidal otitis externa
3,B3789,Other sites of candidiasis
3,B379,Ca unspecified
3,B38,Coccidioidomycosis
3,B380,Acute pulmonary coccidioidomycosis
3,B381,Chronic pulmonary coccidioidomycosis
3,B382,Pu unspecified
3,B383,Cutaneous coccidioidomycosis
3,B384,Coccidioidomycosis meningitis
3,B387,Disseminated coccidioidomycosis
3,B388,Other forms of coccidioidomycosis
3,B3881,Prostatic coccidioidomycosis
3,B3889,Other forms of coccidioidomycosis
3,B389,Co unspecified
3,B39,Histoplasmosis
3,B390,Acute pulmonary histoplasmosis capsulati
3,B391,Chronic pulmonary histoplasmosis capsulati
3,B392,Pu unspecified
3,B393,Disseminated histoplasmosis capsulati
3,B394,Hi unspecified
3,B395,Histoplasmosis duboisii
3,B399,Hi unspecified
3,B40,Blastomycosis
3,B400,Acute pulmonary blastomycosis
3,B401,Chronic pulmonary blastomycosis
3,B402,Pu unspecified
3,B403,Cutaneous blastomycosis
3,B407,Disseminated blastomycosis
3,B408,Other forms of blastomycosis
3,B4081,Blastomycotic meningoencephalitis
3,B4089,Other forms of blastomycosis
3,B409,Bl unspecified
3,B41,Paracoccidioidomycosis
3,B410,Pulmonary paracoccidioidomycosis
3,B417,Disseminated paracoccidioidomycosis
3,B418,Other forms of paracoccidioidomycosis
3,B419,Pa unspecified
3,B42,Sporotrichosis
3,B420,Pulmonary sporotrichosis
3,B421,Lymphocutaneous sporotrichosis
3,B427,Disseminated sporotrichosis
3,B428,Other forms of sporotrichosis
3,B4281,Cerebral sporotrichosis
3,B4282,Sporotrichosis arthritis
3,B4289,Other forms of sporotrichosis
3,B429,Sp unspecified
3,B43,Chromomycosis and pheomycotic abscess
3,B430,Cutaneous chromomycosis
3,B431,Pheomycotic brain abscess
3,B432,Subcutaneous pheomycotic abscess and cyst
3,B438,Other forms of chromomycosis
3,B439,Ch unspecified
3,B44,Aspergillosis
3,B440,Invasive pulmonary aspergillosis
3,B441,Other pulmonary aspergillosis
3,B442,Tonsillar aspergillosis
3,B447,Disseminated aspergillosis
3,B448,Other forms of aspergillosis
3,B4481,Allergic bronchopulmonary aspergillosis
3,B4489,Other forms of aspergillosis
3,B449,As unspecified
3,B45,Cryptococcosis
3,B450,Pulmonary cryptococcosis
3,B451,Cerebral cryptococcosis
3,B452,Cutaneous cryptococcosis
3,B453,Osseous cryptococcosis
3,B457,Disseminated cryptococcosis
3,B458,Other forms of cryptococcosis
3,B459,Cr unspecified
3,B46,Zygomycosis
3,B460,Pulmonary mucormycosis
3,B461,Rhinocerebral mucormycosis
3,B462,Gastrointestinal mucormycosis
3,B463,Cutaneous mucormycosis
3,B464,Disseminated mucormycosis
3,B465,Mu unspecified
3,B468,Other zygomycoses
3,B469,Zy unspecified
3,B47,Mycetoma
3,B470,Eumycetoma
3,B471,Actinomycetoma
3,B479,My unspecified
3,B48,Oth not elsewhere classified
3,B480,Lobomycosis
3,B481,Rhinosporidiosis
3,B482,Allescheriasis
3,B483,Geotrichosis
3,B484,Penicillosis
3,B488,Other specified mycoses
3,B49,Unspecified mycosis
4,C00,Malignant neoplasm of lip
4,C000,Malignant neoplasm of external upper lip
4,C001,Malignant neoplasm of external lower lip
4,C002,Ma unspecified
4,C003,Ma inner aspect
4,C004,Ma inner aspect
4,C005,Ma unspecifi inner aspect
4,C006,Ma unspecified
4,C008,Malignant neoplasm of overlapping sites of lip
4,C009,Ma unspecified
4,C01,Malignant neoplasm of base of tongue
4,C02,Malignant neoplasm of other and unspecified parts of tongue
4,C020,Malignant neoplasm of dorsal surface of tongue
4,C021,Malignant neoplasm of border of tongue
4,C022,Malignant neoplasm of ventral surface of tongue
4,C023,Ma part unsp
4,C024,Malignant neoplasm of lingual tonsil
4,C028,Malignant neoplasm of overlapping sites of tongue
4,C029,Ma unspecified
4,C03,Malignant neoplasm of gum
4,C030,Malignant neoplasm of upper gum
4,C031,Malignant neoplasm of lower gum
4,C039,Ma unspecified
4,C04,Malignant neoplasm of floor of mouth
4,C040,Malignant neoplasm of anterior floor of mouth
4,C041,Malignant neoplasm of lateral floor of mouth
4,C048,Malignant neoplasm of overlapping sites of floor of mouth
4,C049,Ma unspecified
4,C05,Malignant neoplasm of palate
4,C050,Malignant neoplasm of hard palate
4,C051,Malignant neoplasm of soft palate
4,C052,Malignant neoplasm of uvula
4,C058,Malignant neoplasm of overlapping sites of palate
4,C059,Ma unspecified
4,C06,Malignant neoplasm of other and unspecified parts of mouth
4,C060,Malignant neoplasm of cheek mucosa
4,C061,Malignant neoplasm of vestibule of mouth
4,C062,Malignant neoplasm of retromolar area
4,C068,Malignant neoplasm of ovrlp sites of and unsp parts of mouth
4,C0680,Malignant neoplasm of ovrlp sites of unsp parts of mouth
4,C0689,Malignant neoplasm of overlapping sites of oth prt mouth
4,C069,Ma unspecified
4,C07,Malignant neoplasm of parotid gland
4,C08,Malignant neoplasm of other and unsp major salivary glands
4,C080,Malignant neoplasm of submandibular gland
4,C081,Malignant neoplasm of sublingual gland
4,C089,Ma unspecified
4,C09,Malignant neoplasm of tonsil
4,C090,Malignant neoplasm of tonsillar fossa
4,C091,Malig neoplasm of tonsillar pillar (anterior) (posterior)
4,C098,Malignant neoplasm of overlapping sites of tonsil
4,C099,Ma unspecified
4,C10,Malignant neoplasm of oropharynx
4,C100,Malignant neoplasm of vallecula
4,C101,Malignant neoplasm of anterior surface of epiglottis
4,C102,Malignant neoplasm of lateral wall of oropharynx
4,C103,Malignant neoplasm of posterior wall of oropharynx
4,C104,Malignant neoplasm of branchial cleft
4,C108,Malignant neoplasm of overlapping sites of oropharynx
4,C109,Ma unspecified
4,C11,Malignant neoplasm of nasopharynx
4,C110,Malignant neoplasm of superior wall of nasopharynx
4,C111,Malignant neoplasm of posterior wall of nasopharynx
4,C112,Malignant neoplasm of lateral wall of nasopharynx
4,C113,Malignant neoplasm of anterior wall of nasopharynx
4,C118,Malignant neoplasm of overlapping sites of nasopharynx
4,C119,Ma unspecified
4,C12,Malignant neoplasm of pyriform sinus
4,C13,Malignant neoplasm of hypopharynx
4,C130,Malignant neoplasm of postcricoid region
4,C131,Ma hypopharyngeal aspect
4,C132,Malignant neoplasm of posterior wall of hypopharynx
4,C138,Malignant neoplasm of overlapping sites of hypopharynx
4,C139,Ma unspecified
4,C14,Mal oral cavity and pharynx
4,C140,Ma unspecified
4,C142,Malignant neoplasm of Waldeyer's ring
4,C148,Ma oral cavity and pharynx
4,C15,Malignant neoplasm of esophagus
4,C153,Malignant neoplasm of upper third of esophagus
4,C154,Malignant neoplasm of middle third of esophagus
4,C155,Malignant neoplasm of lower third of esophagus
4,C158,Malignant neoplasm of overlapping sites of esophagus
4,C159,Ma unspecified
4,C16,Malignant neoplasm of stomach
4,C160,Malignant neoplasm of cardia
4,C161,Malignant neoplasm of fundus of stomach
4,C162,Malignant neoplasm of body of stomach
4,C163,Malignant neoplasm of pyloric antrum
4,C164,Malignant neoplasm of pylorus
4,C165,Ma unsp
4,C166,Ma unsp
4,C168,Malignant neoplasm of overlapping sites of stomach
4,C169,Ma unspecified
4,C17,Malignant neoplasm of small intestine
4,C170,Malignant neoplasm of duodenum
4,C171,Malignant neoplasm of jejunum
4,C172,Malignant neoplasm of ileum
4,C173,Me malignant
4,C178,Malignant neoplasm of overlapping sites of small intestine
4,C179,Ma unspecified
4,C18,Malignant neoplasm of colon
4,C180,Malignant neoplasm of cecum
4,C181,Malignant neoplasm of appendix
4,C182,Malignant neoplasm of ascending colon
4,C183,Malignant neoplasm of hepatic flexure
4,C184,Malignant neoplasm of transverse colon
4,C185,Malignant neoplasm of splenic flexure
4,C186,Malignant neoplasm of descending colon
4,C187,Malignant neoplasm of sigmoid colon
4,C188,Malignant neoplasm of overlapping sites of colon
4,C189,Ma unspecified
4,C19,Malignant neoplasm of rectosigmoid junction
4,C20,Malignant neoplasm of rectum
4,C21,Malignant neoplasm of anus and anal canal
4,C210,Ma unspecified
4,C211,Malignant neoplasm of anal canal
4,C212,Malignant neoplasm of cloacogenic zone
4,C218,Ma anus and anal canal
4,C22,Malignant neoplasm of liver and intrahepatic bile ducts
4,C220,Liver cell carcinoma
4,C221,Intrahepatic bile duct carcinoma
4,C222,Hepatoblastoma
4,C223,Angiosarcoma of liver
4,C224,Other sarcomas of liver
4,C227,Other specified carcinomas of liver
4,C228,Ma primary   unspecified as to type
4,C229,Ma not specified as primary or sec
4,C23,Malignant neoplasm of gallbladder
4,C24,Malignant neoplasm of other and unsp parts of biliary tract
4,C240,Malignant neoplasm of extrahepatic bile duct
4,C241,Malignant neoplasm of ampulla of Vater
4,C248,Malignant neoplasm of overlapping sites of biliary tract
4,C249,Ma unspecified
4,C25,Malignant neoplasm of pancreas
4,C250,Malignant neoplasm of head of pancreas
4,C251,Malignant neoplasm of body of pancreas
4,C252,Malignant neoplasm of tail of pancreas
4,C253,Malignant neoplasm of pancreatic duct
4,C254,Malignant neoplasm of endocrine pancreas
4,C257,Malignant neoplasm of other parts of pancreas
4,C258,Malignant neoplasm of overlapping sites of pancreas
4,C259,Ma unspecified
4,C26,Malignant neoplasm of other and ill-defined digestive organs
4,C260,Ma part unspecified
4,C261,Malignant neoplasm of spleen
4,C269,Malignant neoplasm of ill-defined sites within the dgstv sys
4,C30,Malignant neoplasm of nasal cavity and middle ear
4,C300,Malignant neoplasm of nasal cavity
4,C301,Malignant neoplasm of middle ear
4,C31,Malignant neoplasm of accessory sinuses
4,C310,Malignant neoplasm of maxillary sinus
4,C311,Malignant neoplasm of ethmoidal sinus
4,C312,Malignant neoplasm of frontal sinus
4,C313,Malignant neoplasm of sphenoid sinus
4,C318,Malignant neoplasm of overlapping sites of accessory sinuses
4,C319,Ma unspecified
4,C32,Malignant neoplasm of larynx
4,C320,Malignant neoplasm of glottis
4,C321,Malignant neoplasm of supraglottis
4,C322,Malignant neoplasm of subglottis
4,C323,Malignant neoplasm of laryngeal cartilage
4,C328,Malignant neoplasm of overlapping sites of larynx
4,C329,Ma unspecified
4,C33,Malignant neoplasm of trachea
4,C34,Malignant neoplasm of bronchus and lung
4,C340,Malignant neoplasm of main bronchus
4,C3400,Malignant neoplasm of unspecified main bronchus
4,C3401,Malignant neoplasm of right main bronchus
4,C3402,Malignant neoplasm of left main bronchus
4,C341,Ma bronchus or lung
4,C3410,M unsp bronchus or lung
4,C3411,M right bronchus or lung
4,C3412,M left bronchus or lung
4,C342,Ma bronchus or lung
4,C343,Ma bronchus or lung
4,C3430,M unsp bronchus or lung
4,C3431,M right bronchus or lung
4,C3432,M left bronchus or lung
4,C348,Malignant neoplasm of overlapping sites of bronchus and lung
4,C3480,Malignant neoplasm of ovrlp sites of unsp bronchus and lung
4,C3481,Malignant neoplasm of ovrlp sites of right bronchus and lung
4,C3482,Malignant neoplasm of ovrlp sites of left bronchus and lung
4,C349,Malignant neoplasm of unspecified part of bronchus or lung
4,C3490,Malignant neoplasm of unsp part of unsp bronchus or lung
4,C3491,Malignant neoplasm of unsp part of right bronchus or lung
4,C3492,Malignant neoplasm of unsp part of left bronchus or lung
4,C37,Malignant neoplasm of thymus
4,C38,Mal mediastinum and pleura
4,C380,Malignant neoplasm of heart
4,C381,Malignant neoplasm of anterior mediastinum
4,C382,Malignant neoplasm of posterior mediastinum
4,C383,Ma part unspecified
4,C384,Malignant neoplasm of pleura
4,C388,Ma mediastinum and pleura
4,C39,Malig neoplm of sites in the resp sys and intrathorac organs
4,C390,Ma part unsp
4,C399,Ma part unsp
4,C40,Malignant neoplasm of bone and articular cartilage of limbs
4,C400,Malignant neoplasm of scapula and long bones of upper limb
4,C4000,Malig neoplasm of scapula and long bones of unsp upper limb
4,C4001,Malig neoplasm of scapula and long bones of right upper limb
4,C4002,Malig neoplasm of scapula and long bones of left upper limb
4,C401,Malignant neoplasm of short bones of upper limb
4,C4010,Malignant neoplasm of short bones of unspecified upper limb
4,C4011,Malignant neoplasm of short bones of right upper limb
4,C4012,Malignant neoplasm of short bones of left upper limb
4,C402,Malignant neoplasm of long bones of lower limb
4,C4020,Malignant neoplasm of long bones of unspecified lower limb
4,C4021,Malignant neoplasm of long bones of right lower limb
4,C4022,Malignant neoplasm of long bones of left lower limb
4,C403,Malignant neoplasm of short bones of lower limb
4,C4030,Malignant neoplasm of short bones of unspecified lower limb
4,C4031,Malignant neoplasm of short bones of right lower limb
4,C4032,Malignant neoplasm of short bones of left lower limb
4,C408,Malig neoplasm of ovrlp sites of bone/artic cartl of limb
4,C4080,Malig neoplm of ovrlp sites of bone/artic cartl of unsp limb
4,C4081,Malig neoplm of ovrlp sites of bone/artic cartl of r limb
4,C4082,Malig neoplm of ovrlp sites of bone/artic cartl of left limb
4,C409,Malignant neoplasm of unsp bones and artic cartilage of limb
4,C4090,Malig neoplasm of unsp bones and artic cartlg of unsp limb
4,C4091,Malig neoplasm of unsp bones and artic cartlg of right limb
4,C4092,Malig neoplasm of unsp bones and artic cartlg of left limb
4,C41,Malignant neoplasm of bone/artic cartl of and unsp sites
4,C410,Malignant neoplasm of bones of skull and face
4,C411,Malignant neoplasm of mandible
4,C412,Malignant neoplasm of vertebral column
4,C413,Ma sternum and clavicle
4,C414,Ma sacrum and coccyx
4,C419,Ma unsp
4,C43,Malignant melanoma of skin
4,C430,Malignant melanoma of lip
4,C431,Ma including canthus
4,C4310,M including canthus
4,C4311,M including canthus
4,C43111, including canthus
4,C43112, including canthus
4,C4312,M including canthus
4,C43121, including canthus
4,C43122, including canthus
4,C432,Malignant melanoma of ear and external auricular canal
4,C4320,Malignant melanoma of unsp ear and external auricular canal
4,C4321,Malignant melanoma of right ear and external auricular canal
4,C4322,Malignant melanoma of left ear and external auricular canal
4,C433,Malignant melanoma of other and unspecified parts of face
4,C4330,Malignant melanoma of unspecified part of face
4,C4331,Malignant melanoma of nose
4,C4339,Malignant melanoma of other parts of face
4,C434,Malignant melanoma of scalp and neck
4,C435,Malignant melanoma of trunk
4,C4351,Malignant melanoma of anal skin
4,C4352,Malignant melanoma of skin of breast
4,C4359,Malignant melanoma of other part of trunk
4,C436,Ma including shoulder
4,C4360,M including shoulder
4,C4361,M including shoulder
4,C4362,M including shoulder
4,C437,Ma including hip
4,C4370,M including hip
4,C4371,M including hip
4,C4372,M including hip
4,C438,Malignant melanoma of overlapping sites of skin
4,C439,Ma unspecified
4,C44,Other and unspecified malignant neoplasm of skin
4,C440,Other and unspecified malignant neoplasm of skin of lip
4,C4400,Unspecified malignant neoplasm of skin of lip
4,C4401,Basal cell carcinoma of skin of lip
4,C4402,Squamous cell carcinoma of skin of lip
4,C4409,Other specified malignant neoplasm of skin of lip
4,C441,Ot inc canthus
4,C4410,U including canthus
4,C44101, including canthus
4,C44102, inc canthus
4,C441021," inc canthus"""
4,C441022," inc canthus"""
4,C44109, including canthus
4,C441091," inc canthus"""
4,C441092," inc canthus"""
4,C4411,B including canthus
4,C44111, including canthus
4,C44112, including canthus
4,C441121," inc canthus"""
4,C441122," inc canthus"""
4,C44119, including canthus
4,C441191," inc canthus"""
4,C441192," inc canthus"""
4,C4412,S including canthus
4,C44121, including canthus
4,C44122, inc canthus
4,C441221," inc canthus"""
4,C441222," inc canthus"""
4,C44129, including canthus
4,C441291," inc canthus"""
4,C441292," inc canthus"""
4,C4413,S including canthus
4,C44131, including canthus
4,C44132, inc canthus
4,C441321," inc canthus"""
4,C441322," inc canthus"""
4,C44139, inc canthus
4,C441391," inc canthus"""
4,C441392," inc canthus"""
4,C4419,O including canthus
4,C44191, including canthus
4,C44192, including canthus
4,C441921," inc canthus"""
4,C441922," inc canthus"""
4,C44199, including canthus
4,C441991," inc canthus"""
4,C441992," inc canthus"""
4,C442,Oth and unsp malig neoplasm skin/ ear and extrn auric canal
4,C4420,Unsp malignant neoplasm skin/ ear and external auric canal
4,C44201,Unsp malig neoplasm skin/ unsp ear and external auric canal
4,C44202,Unsp malig neoplasm skin/ right ear and external auric canal
4,C44209,Unsp malig neoplasm skin/ left ear and external auric canal
4,C4421,Basal cell carcinoma skin/ ear and external auricular canal
4,C44211,Basal cell carcinoma skin/ unsp ear and external auric canal
4,C44212,Basal cell carcinoma skin/ r ear and external auric canal
4,C44219,Basal cell carcinoma skin/ left ear and external auric canal
4,C4422,Squamous cell carcinoma skin/ ear and external auric canal
4,C44221,Squamous cell carcinoma skin/ unsp ear and extrn auric canal
4,C44222,Squamous cell carcinoma skin/ r ear and external auric canal
4,C44229,Squamous cell carcinoma skin/ left ear and extrn auric canal
4,C4429,Oth malignant neoplasm skin/ ear and external auric canal
4,C44291,Oth malig neoplasm skin/ unsp ear and external auric canal
4,C44292,Oth malig neoplasm skin/ right ear and external auric canal
4,C44299,Oth malig neoplasm skin/ left ear and external auric canal
4,C443,Oth and unsp malignant neoplasm skin/ and unsp parts of face
4,C4430,Unsp malignant neoplasm of skin of and unsp parts of face
4,C44300,Unsp malignant neoplasm of skin of unspecified part of face
4,C44301,Unspecified malignant neoplasm of skin of nose
4,C44309,Unsp malignant neoplasm of skin of other parts of face
4,C4431,Basal cell carcinoma of skin of other and unsp parts of face
4,C44310,Basal cell carcinoma of skin of unspecified parts of face
4,C44311,Basal cell carcinoma of skin of nose
4,C44319,Basal cell carcinoma of skin of other parts of face
4,C4432,Squamous cell carcinoma of skin of and unsp parts of face
4,C44320,Squamous cell carcinoma of skin of unspecified parts of face
4,C44321,Squamous cell carcinoma of skin of nose
4,C44329,Squamous cell carcinoma of skin of other parts of face
4,C4439,Oth malignant neoplasm of skin of oth and unsp parts of face
4,C44390,Oth malignant neoplasm of skin of unspecified parts of face
4,C44391,Other specified malignant neoplasm of skin of nose
4,C44399,Oth malignant neoplasm of skin of other parts of face
4,C444,Other and unsp malignant neoplasm of skin of scalp and neck
4,C4440,Unspecified malignant neoplasm of skin of scalp and neck
4,C4441,Basal cell carcinoma of skin of scalp and neck
4,C4442,Squamous cell carcinoma of skin of scalp and neck
4,C4449,Other specified malignant neoplasm of skin of scalp and neck
4,C445,Other and unspecified malignant neoplasm of skin of trunk
4,C4450,Unspecified malignant neoplasm of skin of trunk
4,C44500,Unspecified malignant neoplasm of anal skin
4,C44501,Unspecified malignant neoplasm of skin of breast
4,C44509,Unsp malignant neoplasm of skin of other part of trunk
4,C4451,Basal cell carcinoma of skin of trunk
4,C44510,Basal cell carcinoma of anal skin
4,C44511,Basal cell carcinoma of skin of breast
4,C44519,Basal cell carcinoma of skin of other part of trunk
4,C4452,Squamous cell carcinoma of skin of trunk
4,C44520,Squamous cell carcinoma of anal skin
4,C44521,Squamous cell carcinoma of skin of breast
4,C44529,Squamous cell carcinoma of skin of other part of trunk
4,C4459,Other specified malignant neoplasm of skin of trunk
4,C44590,Other specified malignant neoplasm of anal skin
4,C44591,Other specified malignant neoplasm of skin of breast
4,C44599,Oth malignant neoplasm of skin of other part of trunk
4,C446,Ot inc shoulder
4,C4460,U including shoulder
4,C44601, inc shoulder
4,C44602, inc shoulder
4,C44609, inc shoulder
4,C4461,B including shoulder
4,C44611, inc shoulder
4,C44612, inc shoulder
4,C44619, inc shoulder
4,C4462,S including shoulder
4,C44621, inc shoulder
4,C44622, inc shoulder
4,C44629, inc shoulder
4,C4469,O including shoulder
4,C44691, inc shoulder
4,C44692, inc shoulder
4,C44699, inc shoulder
4,C447,Ot inc hip
4,C4470,U including hip
4,C44701, including hip
